No.,级别,类别,类别名称,细目,语法内容,例句
50,一级,句子的类型,句类,祈使句,,"您请坐。
走吧！
请大家不要说话！"
51,一级,句子的类型,句类,感叹句,,"今天真冷啊！
太贵了！"
52,一级,句子的类型,特殊句型,“是”字句1,表示等同或类属,我哥哥是大学生。
53,一级,句子的类型,特殊句型,“有”字句1,表示领有,我有哥哥，没有姐姐。
54,一级,句子的类型,特殊句型,存现句1,所处+是+名词,"前边是不是电影院？
超市后边是一家饭店。"
55,一级,句子的类型,特殊句型,存现句1,处所+有+数量短语+名词,"学校外边有一家书店。
桌子上有一本中文书。"
56,一级,句子的类型,特殊句型,连动句1,前后动作先后发生，后一动作是前一动作的目的,"我来中国学汉语。
晚上我们去电影院看电影。"
57,一级,句子的类型,特殊句型,连动句1,前一动作是后一动作的方式,"我坐飞机去上海。
爸爸每天开车上班。"
58,一级,句子的类型,特殊句型,双宾语句1,主语+动词+宾语1+宾语2,"老师给我一本书。
我问你一个问题。"
59,一级,句子的类型,复句,不用关联词语的复句,,"这是我哥哥，他学习中文。
我有一个姐姐，没有妹妹。
她今天生病了，不能上课。
上午去，下午去？你说。"
60,一级,句子的类型,复句,并列复句,……，也……,"我喜欢唱歌，我弟弟也喜欢唱歌。
这家饭店的饺子很好吃，也很便宜。"
61,一级,句子的类型,复句,并列复句,……，还……,"这个房间很大，还很漂亮。
我会说英语，还会说汉语。"
62,一级,动作的态,,完成态,用动态助词“了1”表示,"你学了多少个汉字？
我买了一些苹果。"
63,一级,动作的态,,变化态,用语气助词“了2”表示,"八点了，起床吧。
她病了，在家休息呢。"
64,一级,动作的态,,进行态,……在/正在+动词,同学们在/正在上课。
65,一级,动作的态,,进行态,……在/正在+动词……+呢,王老师在/正在打电话呢。
66,一级,动作的态,,进行态,……呢,我没看电视，学习呢。
67,一级,特殊表达法,数的表达法,,钱数表示法,"这本书二十四块（钱）。
包子三块（钱）一个。"
68,一级,特殊表达法,数的表达法,,序数表达法1：第+数词,"今天我们学习第六课。
第一本是我的书，第二本是她的书。"
69,一级,特殊表达法,时间表示法,,年、月、日、星期表示法,"2022年2月4日
九月十五号、五月一日
星期一、星期二、星期三、星期四、星期五、星期六、星期日/星期天"
70,一级,特殊表达法,时间表示法,,钟点表示法,两点、七点零五、九点二十（分）、十点半
